LABID,mito.hap
z0007397,Pcra.mito.0007397
z0017139,Pcra.mito.0017139
z0072696,Pcra.mito.0072696
z0074710,Pcra.mito.0074710
z0092256,Pcra.mito.0092256
z0030072,Pcra.mito.01
z0045928,Pcra.mito.01
z0049048,Pcra.mito.01
z0075660,Pcra.mito.01
z0098734,Pcra.mito.01
z0098735,Pcra.mito.01
z0098743,Pcra.mito.01
z0098744,Pcra.mito.01
z0132631,Pcra.mito.01
z0132635,Pcra.mito.01
z0132641,Pcra.mito.01
z0116592,Pcra.mito.01
z0023319,Pcra.mito.01
z0027453,Pcra.mito.01
z0033885,Pcra.mito.01
z0033892,Pcra.mito.01
z0033898,Pcra.mito.01
z0033899,Pcra.mito.01
z0033902,Pcra.mito.01
z0033903,Pcra.mito.01
z0033905,Pcra.mito.01
z0033906,Pcra.mito.01
z0033908,Pcra.mito.01
z0102485,Pcra.mito.01
z0091274,Pcra.mito.01
z0091276,Pcra.mito.01
z0102219,Pcra.mito.01
z0102225,Pcra.mito.01
z0102433,Pcra.mito.01
z0102434,Pcra.mito.01
z0102435,Pcra.mito.01
z0102437,Pcra.mito.01
z0108128,Pcra.mito.01
z0108130,Pcra.mito.01
z0108131,Pcra.mito.01
z0108135,Pcra.mito.01
z0132640,Pcra.mito.01
z0114891,Pcra.mito.0114891
z0123190,Pcra.mito.0123190
z0045925,Pcra.mito.02
z0098737,Pcra.mito.02
z0098738,Pcra.mito.02
z0132636,Pcra.mito.02
z0132638,Pcra.mito.02
z0132660,Pcra.mito.02
z0018945,Pcra.mito.02
z0023320,Pcra.mito.02
z0186414,Pcra.mito.03
z0116588,Pcra.mito.03
z0116591,Pcra.mito.03
z0011648,Pcra.mito.03
z0011650,Pcra.mito.03
z0018458,Pcra.mito.03
z0018461,Pcra.mito.03
z0018462,Pcra.mito.03
z0091081,Pcra.mito.04
z0091086,Pcra.mito.04
z0091284,Pcra.mito.04
z0018954,Pcra.mito.04
z0018955,Pcra.mito.04
z0016137,Pcra.mito.05
z0016148,Pcra.mito.05
z0072688,Pcra.mito.05
z0072692,Pcra.mito.05
z0041855,Pcra.mito.06
z0049098,Pcra.mito.06
z0053477,Pcra.mito.06
z0073897,Pcra.mito.06
z0117293,Pcra.mito.07
z0117296,Pcra.mito.07
z0117297,Pcra.mito.07
z0102216,Pcra.mito.07
z0114834,Pcra.mito.08
z0114839,Pcra.mito.08
z0114824,Pcra.mito.08
z0114825,Pcra.mito.08
z0114842,Pcra.mito.08
z0045817,Pcra.mito.09
z0079763,Pcra.mito.09
z0079765,Pcra.mito.09
z0114885,Pcra.mito.10
z0027510,Pcra.mito.10
z0049057,Pcra.mito.11
z0049059,Pcra.mito.11
z0049097,Pcra.mito.12
z0108157,Pcra.mito.12
z0114945,Pcra.mito.13
z0102208,Pcra.mito.13
z0114887,Pcra.mito.14
z0114888,Pcra.mito.14
z0007448,Pcra.mito.15
z0114889,Pcra.mito.15
z0114890,Pcra.mito.15
z0116577,Pcra.mito.16
z0116582,Pcra.mito.16
z0116971,Pcra.mito.17
z0116975,Pcra.mito.17
z0125878,Pcra.mito.18
z0123192,Pcra.mito.18
z0196616,Pcra.mito.19
z0196617,Pcra.mito.19
z0196620,Pcra.mito.19
z0196621,Pcra.mito.19
z0004176,Pcra.mito.20
z0004522,Pcra.mito.21
z0007636,Pcra.mito.22
z0009883,Pcra.mito.23
z0013844,Pcra.mito.24
z0016143,Pcra.mito.25
z0018301,Pcra.mito.26
z0018454,Pcra.mito.27
z0038074,Pcra.mito.28
z0041854,Pcra.mito.29
z0049052,Pcra.mito.30
z0049058,Pcra.mito.31
z0146455,Pcra.mito.32
z0067067,Pcra.mito.32
z0067157,Pcra.mito.33
z0073895,Pcra.mito.34
z0075676,Pcra.mito.35
z0092254,Pcra.mito.36
z0093155,Pcra.mito.37
z0094784,Pcra.mito.38
z0098745,Pcra.mito.39
z0102212,Pcra.mito.40
z0102213,Pcra.mito.41
z0102432,Pcra.mito.42
z0108139,Pcra.mito.43
z0108158,Pcra.mito.44
z0114550,Pcra.mito.45
z0114886,Pcra.mito.46
z0114957,Pcra.mito.47
z0116580,Pcra.mito.48
z0116585,Pcra.mito.49
z0116972,Pcra.mito.50
z0116974,Pcra.mito.51
z0125877,Pcra.mito.52
z0146452,Pcra.mito.53
z0146453,Pcra.mito.54
z0175342,Pcra.mito.55
z0185086,Pcra.mito.56
z0185087,Pcra.mito.57
z0186423,Pcra.mito.58
z0186425,Pcra.mito.58